Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,2,04. Architecture and related services,04.09. Architectural sciences and technology,48700.00,600
Diploma,2,"09. Communication, journalism and related programs",09.04. Journalism,35900.00,270
Diploma,2,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication",40700.00,510
Diploma,2,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication",53000.00,170
Diploma,2,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,41700.00,110
Diploma,2,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,36800.00,170
Diploma,2,10. Communications technologies/technicians and support services,10.03. Graphic communications,36700.00,200
Diploma,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",55900.00,100
Diploma,2,11. Computer and information sciences and support services,11.08. Computer software and media applications,48600.00,140
Diploma,2,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,55100.00,120
Diploma,2,12. Personal and culinary services,12.05. Culinary arts and related services,33600.00,580
Diploma,2,13. Education,13.10. Special education and teaching,65400.00,30
Diploma,2,13. Education,13.15. Teaching assistants/aides,27000.00,40
Diploma,2,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,64800.00,400
Diploma,2,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,66300.00,570
Diploma,2,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,73600.00,600
Diploma,2,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,53000.00,220
Diploma,2,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,86000.00,50
Diploma,2,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,73700.00,130
Diploma,2,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,60400.00,390
Diploma,2,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,69400.00,370
Diploma,2,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,70400.00,210
Diploma,2,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,61100.00,150
Diploma,2,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,53400.00,520
Diploma,2,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,53800.00,450
Diploma,2,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other",68000.00,260
Diploma,2,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",35500.00,660
Diploma,2,22. Legal professions and studies,22.03. Legal support services,42600.00,580
Diploma,2,23. English language and literature/letters,23.13. English rhetoric and composition/writing studies,34600.00,40
Diploma,2,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",27200.00,120
Diploma,2,25. Library science,25.03. Library and archives assisting,36200.00,80
Diploma,2,25. Library science,"25.99. Library science, other",39000.00,90
Diploma,2,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",33000.00,40
Diploma,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,37000.00,260
Diploma,2,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,40700.00,60
Diploma,2,41. Science technologies/technicians,41.03. Physical science technologies/technicians,51100.00,200
Diploma,2,43. Security and protective services,43.01. Criminal justice and corrections,46900.00,930
Diploma,2,43. Security and protective services,43.02. Fire protection,64300.00,30
Diploma,2,47. Mechanic and repair technologies/technicians,47.03. Heavy/industrial equipment maintenance technologies,81300.00,110
Diploma,2,47. Mechanic and repair technologies/technicians,47.05. Stationary energy sources installer and operatorCAN,148000.00,300
Diploma,2,47. Mechanic and repair technologies/technicians,47.06. Vehicle maintenance and repair technologies,47200.00,410
Diploma,2,48. Precision production,48.05. Precision metal working,75800.00,60
Diploma,2,48. Precision production,48.08. Boilermaking/boilermaker,121000.00,180
Diploma,2,49. Transportation and materials moving,49.01. Air transportation,37500.00,50
Diploma,2,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",29000.00,30
Diploma,2,50. Visual and performing arts,50.04. Design and applied arts,34700.00,540
Diploma,2,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,27400.00,160
Diploma,2,50. Visual and performing arts,50.06. Film/video and photographic arts,36500.00,70
Diploma,2,50. Visual and performing arts,50.09. Music,26400.00,90
Diploma,2,51. Health professions and related programs,51.02. Communication disorders sciences and services,54200.00,160
Diploma,2,51. Health professions and related programs,51.06. Dental support services and allied professions,50200.00,170
Diploma,2,51. Health professions and related programs,51.07. Health and medical administrative services,55100.00,50
Diploma,2,51. Health professions and related programs,51.08. Allied health and medical assisting services,39500.00,940
Diploma,2,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",79200.00,1100
Diploma,2,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,70700.00,380
Diploma,2,51. Health professions and related programs,51.15. Mental and social health services and allied professions,32600.00,140
Diploma,2,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,41800.00,400
Diploma,2,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,42500.00,30
Diploma,2,51. Health professions and related programs,51.33. Alternative and complementary medicine and medical systems,34200.00,70
Diploma,2,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,24100.00,80
Diploma,2,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",76500.00,300
Diploma,2,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants",45100.00,2530
Diploma,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",44200.00,1130
Diploma,2,"52. Business, management, marketing and related support services",52.03. Accounting and related services,39700.00,1740
Diploma,2,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,42500.00,290
Diploma,2,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,42000.00,470
Diploma,2,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,36300.00,370
Diploma,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,48800.00,420
Diploma,2,"52. Business, management, marketing and related support services",52.14. Marketing,42600.00,680
Diploma,2,"52. Business, management, marketing and related support services",52.15. Real estate,64600.00,40
Diploma,2,"52. Business, management, marketing and related support services",52.17. Insurance,53200.00,100
Diploma,2,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",36000.00,220
Diploma,2,"52. Business, management, marketing and related support services",52.20. Construction management,65000.00,110
Diploma,2,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other",54300.00,100
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",64300.00,40
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,52900.00,60
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,51700.00,40
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,48200.00,50
Bachelor's degree,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,56600.00,280
Bachelor's degree,2,03. Natural resources and conservation,03.02. Natural resources management and policy,64900.00,260
Bachelor's degree,2,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,39600.00,50
Bachelor's degree,2,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",38500.00,100
Bachelor's degree,2,"09. Communication, journalism and related programs",09.01. Communication and media studies,47600.00,490
Bachelor's degree,2,"09. Communication, journalism and related programs",09.04. Journalism,44000.00,120
Bachelor's degree,2,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication",50900.00,20
Bachelor's degree,2,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication",53900.00,100
Bachelor's degree,2,10. Communications technologies/technicians and support services,10.03. Graphic communications,42300.00,60
Bachelor's degree,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",65800.00,320
Bachelor's degree,2,11. Computer and information sciences and support services,11.07. Computer science,59400.00,540
Bachelor's degree,2,13. Education,"13.01. Education, general",52900.00,210
Bachelor's degree,2,13. Education,13.05. Educational/instructional media design,78400.00,30
Bachelor's degree,2,13. Education,"13.12. Teacher education and professional development, specific levels and methods",57100.00,4640
Bachelor's degree,2,13. Education,"13.13. Teacher education and professional development, specific subject areas",58800.00,2920
Bachelor's degree,2,14. Engineering,14.05. Bioengineering and biomedical engineering,76700.00,70
Bachelor's degree,2,14. Engineering,14.07. Chemical engineering,92100.00,720
Bachelor's degree,2,14. Engineering,14.08. Civil engineering,74900.00,790
Bachelor's degree,2,14. Engineering,14.09. Computer engineering,63700.00,260
Bachelor's degree,2,14. Engineering,"14.10. Electrical, electronics and communications engineering",78500.00,710
Bachelor's degree,2,14. Engineering,14.12. Engineering physics/applied physics,59100.00,40
Bachelor's degree,2,14. Engineering,14.14. Environmental/environmental health engineering,71300.00,120
Bachelor's degree,2,14. Engineering,14.18. Materials engineering,82200.00,140
Bachelor's degree,2,14. Engineering,14.19. Mechanical engineering,85300.00,1150
Bachelor's degree,2,14. Engineering,14.21. Mining and mineral engineering,104600.00,130
Bachelor's degree,2,14. Engineering,14.25. Petroleum engineering,104200.00,240
Bachelor's degree,2,14. Engineering,14.38. Surveying engineering,70100.00,140
Bachelor's degree,2,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,75600.00,110
Bachelor's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",38300.00,100
Bachelor's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.09. Romance languages, literatures and linguistics",38300.00,50
Bachelor's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.12. Classics and classical languages, literatures and linguistics",38000.00,30
Bachelor's degree,2,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",40600.00,90
Bachelor's degree,2,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",44200.00,240
Bachelor's degree,2,22. Legal professions and studies,"22.99. Legal professions and studies, other",47700.00,70
Bachelor's degree,2,23. English language and literature/letters,"23.01. English language and literature, general",37600.00,700
Bachelor's degree,2,23. English language and literature/letters,23.13. English rhetoric and composition/writing studies,48100.00,140
Bachelor's degree,2,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",46900.00,900
Bachelor's degree,2,26. Biological and biomedical sciences,"26.01. Biology, general",40700.00,920
Bachelor's degree,2,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,44800.00,40
Bachelor's degree,2,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,45800.00,80
Bachelor's degree,2,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,40900.00,50
Bachelor's degree,2,26. Biological and biomedical sciences,26.07. Zoology/animal biology,38400.00,80
Bachelor's degree,2,26. Biological and biomedical sciences,26.08. Genetics,43900.00,20
Bachelor's degree,2,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",30600.00,20
Bachelor's degree,2,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology",51900.00,200
Bachelor's degree,2,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,39400.00,50
Bachelor's degree,2,27. Mathematics and statistics,27.01. Mathematics,45100.00,110
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,40000.00,50
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,47600.00,100
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,74100.00,180
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",48500.00,20
Bachelor's degree,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,43300.00,850
Bachelor's degree,2,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",35600.00,120
Bachelor's degree,2,40. Physical sciences,"40.01. Physical sciences, general",55800.00,40
Bachelor's degree,2,40. Physical sciences,40.05. Chemistry,49000.00,190
Bachelor's degree,2,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,69900.00,660
Bachelor's degree,2,40. Physical sciences,40.08. Physics,49100.00,70
Bachelor's degree,2,42. Psychology,"42.01. Psychology, general",42100.00,1770
Bachelor's degree,2,42. Psychology,"42.28. Clinical, counselling and applied psychology",64100.00,70
Bachelor's degree,2,43. Security and protective services,43.01. Criminal justice and corrections,58300.00,290
Bachelor's degree,2,43. Security and protective services,"43.99. Security and protective services, other",117100.00,80
Bachelor's degree,2,44. Public administration and social service professions,"44.00. Human services, general",53800.00,120
Bachelor's degree,2,44. Public administration and social service professions,44.07. Social work,54500.00,660
Bachelor's degree,2,45. Social sciences,"45.01. Social sciences, general",40100.00,50
Bachelor's degree,2,45. Social sciences,45.02. Anthropology,41200.00,280
Bachelor's degree,2,45. Social sciences,45.03. Archaeology,37200.00,90
Bachelor's degree,2,45. Social sciences,45.04. Criminology,53300.00,230
Bachelor's degree,2,45. Social sciences,45.06. Economics,51700.00,690
Bachelor's degree,2,45. Social sciences,45.07. Geography and cartography,55100.00,270
Bachelor's degree,2,45. Social sciences,45.09. International relations and national security studies,41500.00,160
Bachelor's degree,2,45. Social sciences,45.10. Political science and government,43000.00,630
Bachelor's degree,2,45. Social sciences,45.11. Sociology,45700.00,700
Bachelor's degree,2,45. Social sciences,45.12. Urban studies/affairs,51700.00,90
Bachelor's degree,2,50. Visual and performing arts,50.04. Design and applied arts,38800.00,440
Bachelor's degree,2,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,29900.00,190
Bachelor's degree,2,50. Visual and performing arts,50.06. Film/video and photographic arts,31700.00,110
Bachelor's degree,2,50. Visual and performing arts,50.07. Fine arts and art studies,31000.00,590
Bachelor's degree,2,50. Visual and performing arts,50.09. Music,36200.00,120
Bachelor's degree,2,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general",44600.00,40
Bachelor's degree,2,51. Health professions and related programs,51.06. Dental support services and allied professions,79400.00,120
Bachelor's degree,2,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,73900.00,80
Bachelor's degree,2,51. Health professions and related programs,51.15. Mental and social health services and allied professions,48600.00,120
Bachelor's degree,2,51. Health professions and related programs,51.22. Public health,50500.00,110
Bachelor's degree,2,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",76000.00,6550
Bachelor's degree,2,"52. Business, management, marketing and related support services","52.01. Business/commerce, general",58800.00,2150
Bachelor's degree,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",55700.00,2410
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.03. Accounting and related services,57500.00,2650
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,52100.00,160
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,51900.00,60
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,59900.00,810
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,60500.00,690
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,56800.00,380
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.12. Management information systems and services,61300.00,60
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,55000.00,90
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.14. Marketing,51000.00,680
Bachelor's degree,2,54. History,54.01. History,40400.00,480
Bachelor's degree,2,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",44900.00,80
Professional bachelor's degree,2,22. Legal professions and studies,"22.01. Law (LLB, JD, BCL)",83400.00,1000
Professional bachelor's degree,2,51. Health professions and related programs,"51.04. Dentistry (DDS, DMD)",3100.00,60
Professional bachelor's degree,2,51. Health professions and related programs,51.12. Medicine (MD),67200.00,200
Professional bachelor's degree,2,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",106800.00,500
Professional bachelor's degree,2,51. Health professions and related programs,51.24. Veterinary medicine (DVM),80800.00,40
Master's degree,2,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",51300.00,50
Master's degree,2,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,75100.00,30
Master's degree,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,70000.00,90
Master's degree,2,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)",55400.00,130
Master's degree,2,04. Architecture and related services,"04.03. City/urban, community and regional planning",70900.00,40
Master's degree,2,04. Architecture and related services,04.04. Environmental design/architecture,66300.00,30
Master's degree,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",91300.00,110
Master's degree,2,11. Computer and information sciences and support services,11.07. Computer science,77400.00,70
Master's degree,2,13. Education,"13.01. Education, general",100900.00,330
Master's degree,2,13. Education,13.04. Educational administration and supervision,99000.00,150
Master's degree,2,13. Education,13.05. Educational/instructional media design,85700.00,100
Master's degree,2,13. Education,"13.06. Educational assessment, evaluation and research",94300.00,520
Master's degree,2,13. Education,"13.12. Teacher education and professional development, specific levels and methods",87300.00,160
Master's degree,2,14. Engineering,14.07. Chemical engineering,99700.00,110
Master's degree,2,14. Engineering,14.08. Civil engineering,85600.00,370
Master's degree,2,14. Engineering,"14.10. Electrical, electronics and communications engineering",76100.00,210
Master's degree,2,14. Engineering,14.18. Materials engineering,91000.00,60
Master's degree,2,14. Engineering,14.19. Mechanical engineering,92000.00,220
Master's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",32700.00,40
Master's degree,2,22. Legal professions and studies,22.02. Legal research and advanced professional studies (post-LLB/JD),103900.00,20
Master's degree,2,23. English language and literature/letters,"23.01. English language and literature, general",41200.00,30
Master's degree,2,25. Library science,25.01. Library science and administration,58100.00,160
Master's degree,2,26. Biological and biomedical sciences,"26.01. Biology, general",62900.00,130
Master's degree,2,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,47800.00,20
Master's degree,2,26. Biological and biomedical sciences,26.12. Biotechnology,49100.00,30
Master's degree,2,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,43500.00,20
Master's degree,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,64900.00,70
Master's degree,2,40. Physical sciences,40.05. Chemistry,60900.00,40
Master's degree,2,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,89200.00,140
Master's degree,2,42. Psychology,"42.01. Psychology, general",59700.00,50
Master's degree,2,42. Psychology,"42.28. Clinical, counselling and applied psychology",66000.00,430
Master's degree,2,44. Public administration and social service professions,44.05. Public policy analysis,68900.00,20
Master's degree,2,44. Public administration and social service professions,44.07. Social work,69700.00,430
Master's degree,2,45. Social sciences,45.06. Economics,75800.00,60
Master's degree,2,45. Social sciences,45.07. Geography and cartography,63500.00,50
Master's degree,2,45. Social sciences,45.10. Political science and government,62300.00,40
Master's degree,2,45. Social sciences,45.11. Sociology,59500.00,50
Master's degree,2,50. Visual and performing arts,50.04. Design and applied arts,36700.00,40
Master's degree,2,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,43400.00,20
Master's degree,2,51. Health professions and related programs,51.02. Communication disorders sciences and services,72400.00,160
Master's degree,2,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)",60200.00,90
Master's degree,2,51. Health professions and related programs,51.22. Public health,72200.00,230
Master's degree,2,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,72700.00,540
Master's degree,2,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",95300.00,910
Master's degree,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",113900.00,1530
Master's degree,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,84900.00,60
Master's degree,2,54. History,54.01. History,39800.00,40
Doctoral degree,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,70900.00,30
Doctoral degree,2,11. Computer and information sciences and support services,11.07. Computer science,69800.00,70
Doctoral degree,2,13. Education,"13.01. Education, general",100200.00,40
Doctoral degree,2,13. Education,"13.06. Educational assessment, evaluation and research",98400.00,30
Doctoral degree,2,14. Engineering,14.07. Chemical engineering,133900.00,20
Doctoral degree,2,14. Engineering,14.08. Civil engineering,96600.00,110
Doctoral degree,2,14. Engineering,"14.10. Electrical, electronics and communications engineering",70600.00,130
Doctoral degree,2,14. Engineering,14.18. Materials engineering,90600.00,70
Doctoral degree,2,14. Engineering,14.19. Mechanical engineering,65900.00,50
Doctoral degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",18600.00,30
Doctoral degree,2,23. English language and literature/letters,"23.01. English language and literature, general",43900.00,40
Doctoral degree,2,26. Biological and biomedical sciences,"26.01. Biology, general",37900.00,90
Doctoral degree,2,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,31700.00,40
Doctoral degree,2,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",16900.00,30
Doctoral degree,2,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,21300.00,30
Doctoral degree,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,49400.00,30
Doctoral degree,2,40. Physical sciences,40.02. Astronomy and astrophysics,69500.00,30
Doctoral degree,2,40. Physical sciences,40.05. Chemistry,40200.00,150
Doctoral degree,2,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,67600.00,40
Doctoral degree,2,40. Physical sciences,40.08. Physics,55900.00,20
Doctoral degree,2,42. Psychology,"42.01. Psychology, general",56200.00,50
Doctoral degree,2,42. Psychology,"42.28. Clinical, counselling and applied psychology",69800.00,40
Doctoral degree,2,45. Social sciences,45.11. Sociology,74500.00,40
Doctoral degree,2,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)",53000.00,90
Doctoral degree,2,51. Health professions and related programs,51.22. Public health,89800.00,40
Doctoral degree,2,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",101600.00,50
Doctoral degree,2,54. History,54.01. History,53300.00,30
Certificate,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,37800.00,20
Certificate,3,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,37400.00,60
Certificate,3,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,31700.00,40
Certificate,3,10. Communications technologies/technicians and support services,10.03. Graphic communications,35600.00,90
Certificate,3,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",55300.00,30
Certificate,3,11. Computer and information sciences and support services,11.08. Computer software and media applications,49500.00,100
Certificate,3,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,48100.00,80
Certificate,3,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,53400.00,170
Certificate,3,12. Personal and culinary services,12.03. Funeral service and mortuary science,56000.00,20
Certificate,3,12. Personal and culinary services,12.04. Cosmetology and related personal grooming services,25600.00,50
Certificate,3,12. Personal and culinary services,12.05. Culinary arts and related services,33000.00,300
Certificate,3,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,62300.00,160
Certificate,3,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,55100.00,150
Certificate,3,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,83300.00,100
Certificate,3,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,55300.00,80
Certificate,3,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,55000.00,60
Certificate,3,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,64100.00,100
Certificate,3,"16. Aboriginal and foreign languages, literatures and linguistics",16.16. Sign language,32800.00,20
Certificate,3,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",22400.00,530
Certificate,3,22. Legal professions and studies,22.03. Legal support services,41700.00,70
Certificate,3,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",39900.00,30
Certificate,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,39100.00,80
Certificate,3,43. Security and protective services,43.01. Criminal justice and corrections,47300.00,70
Certificate,3,43. Security and protective services,43.02. Fire protection,62400.00,630
Certificate,3,43. Security and protective services,"43.99. Security and protective services, other",54700.00,80
Certificate,3,46. Construction trades,"46.00. Construction trades, general",52300.00,20
Certificate,3,46. Construction trades,46.02. Carpentry/carpenter,39400.00,110
Certificate,3,46. Construction trades,46.03. Electrical and power transmission installers,46600.00,220
Certificate,3,46. Construction trades,"46.04. Building/construction finishing, management and inspection",25000.00,30
Certificate,3,46. Construction trades,46.05. Plumbing and related water supply services,47800.00,100
Certificate,3,47. Mechanic and repair technologies/technicians,47.03. Heavy/industrial equipment maintenance technologies,61400.00,210
Certificate,3,47. Mechanic and repair technologies/technicians,47.05. Stationary energy sources installer and operatorCAN,100500.00,1010
Certificate,3,47. Mechanic and repair technologies/technicians,47.06. Vehicle maintenance and repair technologies,43900.00,550
Certificate,3,48. Precision production,48.05. Precision metal working,41900.00,230
Certificate,3,48. Precision production,48.07. Woodworking,39900.00,160
Certificate,3,49. Transportation and materials moving,49.02. Ground transportation,44200.00,220
Certificate,3,50. Visual and performing arts,50.04. Design and applied arts,24800.00,90
Certificate,3,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",34800.00,50
Certificate,3,51. Health professions and related programs,51.06. Dental support services and allied professions,46500.00,420
Certificate,3,51. Health professions and related programs,51.07. Health and medical administrative services,38300.00,1510
Certificate,3,51. Health professions and related programs,51.08. Allied health and medical assisting services,42700.00,2550
Certificate,3,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",42800.00,260
Certificate,3,51. Health professions and related programs,51.15. Mental and social health services and allied professions,39800.00,60
Certificate,3,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,53600.00,100
Certificate,3,51. Health professions and related programs,51.26. Health aides/attendants/orderlies,35200.00,3470
Certificate,3,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",83100.00,320
Certificate,3,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants",49900.00,70
Certificate,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",40600.00,250
Certificate,3,"52. Business, management, marketing and related support services",52.03. Accounting and related services,46800.00,570
Certificate,3,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,37800.00,1320
Certificate,3,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,32400.00,50
Certificate,3,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,33400.00,50
Certificate,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,52500.00,270
Certificate,3,"52. Business, management, marketing and related support services",52.14. Marketing,29200.00,30
Certificate,3,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",36200.00,90
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,48400.00,80
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,38300.00,100
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,34900.00,50
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,42400.00,140
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,43400.00,70
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,26300.00,40
